origin_destination_airport,ratio_distance_inefficiency,ratio_ccd_fuel_inefficiency
CYUL-KLGA,1.0726,1.4123
CYUL-KMCO,1.0428,1.1905
CYUL-KMIA,1.0445,1.1682
CYUL-KORD,1.0501,1.3113
CYUL-KPBI,1.0348,1.2334
CYUL-KPHL,1.0893,1.2723
CYUL-KPHX,1.0235,1.2756
CYUL-KRSW,1.048,1.2417
CYUL-KSFO,1.025,1.2293
CYUL-KTPA,1.0414,1.2154
CYUL-LEBL,1.0306,1.0122
CYUL-LEMG,1.0224,1.0021
CYUL-LFBO,1.0338,1.0349
CYUL-LFLL,1.0313,1.0239
CYUL-LFML,1.0322,1.003
CYUL-LFMN,1.0303,1.0099
CYUL-LFPG,1.0319,1.0025
CYUL-LFPO,1.0409,1.0322
CYUL-LFRS,1.0305,1.0226
CYUL-LGAV,1.0294,1.0078
CYUL-LIPZ,1.0275,0.9978
CYUL-LIRF,1.0319,1.0083
CYUL-LLBG,1.0205,1.0303
CYUL-LOWW,1.0265,0.9711
CYUL-LPPT,1.0249,0.983
CYUL-LROP,1.0196,0.9937
CYUL-LSGG,1.0366,1.0562
CYUL-LSZH,1.0284,1.0335
CYUL-LTFM,1.0274,1.053
CYUL-MDCY,1.0354,1.109
CYUL-MDLR,1.0252,1.0616
CYUL-MDPC,1.0406,1.0859
CYUL-MDPP,1.0375,1.1049
CYUL-MHRO,1.0378,1.1388
CYUL-MKJS,1.03,1.1219
CYUL-MMCZ,1.0474,1.2104
CYUL-MMMX,1.0333,1.1832
CYUL-MMPR,1.0261,1.2065
CYUL-MMUN,1.0679,1.2087
CYUL-MPSM,1.0231,1.1046
CYUL-MPTO,1.03,1.1216
CYUL-MRLB,1.0296,1.1382
CYUL-MROC,1.0388,1.1198
CYUL-MTPP,1.0309,1.1294
CYUL-MUCC,1.0321,1.1427
CYUL-MUCL,1.0253,1.1585
CYUL-MUHA,1.0553,1.2225
CYUL-MUHG,1.0334,1.1482
CYUL-MUSC,1.0245,1.1356
CYUL-MUVR,1.0287,1.1499
CYUL-OJAI,1.0198,1.004
CYUL-OTHH,1.0287,1.0212
CYUL-RJAA,1.0202,1.1587
CYUL-SPJC,1.0289,1.0872
CYUL-TBPB,1.0209,0.9596
CYUL-TFFF,1.0222,1.0841
CYUL-TFFR,1.0268,1.086
CYUL-ZBAA,1.044,1.2193
CYUL-ZSPD,1.0338,1.0908
CYUY-CYUL,1.0934,1.1405
CYVO-CYMX,1.0559,1.1373
CYVO-CYUL,1.0635,1.1598
CYVP-CYUL,1.0462,1.1087
CYVR-BIKF,1.0078,0.9793
CYVR-CYCD,1.2969,1.1943
CYVR-CYEG,1.0233,1.0582
CYVR-CYHM,1.02,0.9364
CYVR-CYLW,1.1616,1.3151
CYVR-CYOW,1.0165,0.9925
CYVR-CYQR,1.022,0.9909
CYVR-CYUL,1.0175,0.9932
CYVR-CYWG,1.0207,1.0228
CYVR-CYXE,1.0297,0.978
CYVR-CYXY,1.0116,1.1425
CYVR-CYYC,1.0562,1.0913
CYVR-CYYJ,1.196,1.1398
CYVR-CYYZ,1.0252,0.9734
CYVR-CZMT,1.03,1.1312
CYVR-EDDF,1.0231,1.0751
CYVR-EDDM,1.0196,1.0889
CYVR-EGCC,1.0142,1.032
CYVR-EGKK,1.0214,1.0486
CYVR-EGLL,1.02,1.0469
CYVR-EHAM,1.0217,1.0711
CYVR-EIDW,1.0211,1.0782
CYVR-KATL,1.0213,1.0456
CYVR-KBFI,1.1161,1.3853
CYVR-KBOS,1.0317,1.0627
CYVR-KCVG,1.0188,0.9212
CYVR-KDEN,1.0334,1.0703
CYVR-KDFW,1.026,1.0341
CYVR-KEWR,1.0345,0.9958
CYVR-KIAH,1.0296,1.0585
CYVR-KJFK,1.0457,0.9035
CYVR-KLAS,1.0698,1.1099
CYVR-KLAX,1.0352,1.113
CYVR-KMEM,1.0282,0.9618
CYVR-KMSP,1.0376,1.0729
CYVR-KORD,1.0313,1.032
CYVR-KPHX,1.0257,1.055
CYVR-KPSP,1.0595,1.0722
CYVR-KSAN,1.034,1.111
CYVR-KSDF,1.0258,0.9535
CYVR-KSEA,1.1046,1.3629
CYVR-KSFO,1.0511,1.125
CYVR-KSLC,1.0288,1.0655
CYVR-KSNA,1.0571,1.0616
CYVR-LFPG,1.0233,1.1021
CYVR-LSZH,1.0245,0.9805
CYVR-MMBT,1.0311,1.0415
CYVR-MMMX,1.0327,1.0773
CYVR-MMPR,1.0188,1.0409
CYVR-MMSD,1.032,1.0621
CYVR-MMUN,1.0236,1.0229
CYVR-NZAA,1.0081,1.1934
CYVR-PANC,1.0251,1.1935
CYVR-PHKO,1.0242,1.1471
CYVR-PHLI,1.0114,1.1496
CYVR-PHNL,1.0195,1.1201
CYVR-PHOG,1.0244,1.1234
CYVR-RCTP,1.0166,1.1762
CYVR-RJAA,1.0214,1.1845
CYVR-RJBB,1.0402,1.177
CYVR-RJTT,1.0176,1.2314
CYVR-RKSI,1.0541,1.2286
CYVR-RPLL,1.0138,1.1356
CYVR-VHHH,1.0332,1.1574
CYVR-VIDP,1.1069,1.1655
CYVR-YBBN,1.0111,1.1045
CYVR-YMML,1.0078,1.0865
CYVR-ZBAA,1.0134,1.1562
