origin_destination_airport,ratio_distance_inefficiency,ratio_ccd_fuel_inefficiency
LDDU-LIRF,1.092,1.1845
LDDU-LKPR,1.1138,1.1245
LDDU-LOWW,1.114,1.1799
LDDU-LSGG,1.0631,1.1371
LDDU-LTFM,1.0818,1.0828
LDPL-EBCI,1.0462,1.0606
LDPL-EDDF,1.113,1.1638
LDPL-EDDK,1.0514,1.0887
LDPL-EDDL,1.0733,1.1381
LDPL-EDFH,1.0323,1.0701
LDPL-EGBB,1.0881,1.1185
LDPL-EGCC,1.0675,1.1498
LDPL-EGGD,1.042,1.1063
LDPL-EGKK,1.041,1.1767
LDPL-EGSS,1.0452,1.0794
LDPL-EHAM,1.1114,1.2032
LDPL-EIDW,1.0291,1.2138
LDPL-ENGM,1.0415,1.1156
LDPL-UUDD,1.0478,1.0892
LDRI-EDDK,1.0645,1.1104
LDRI-EDDL,1.1192,1.1765
LDRI-EHEH,1.0821,1.0792
LDSP-EDDB,1.0601,1.117
LDSP-EDDF,1.0975,1.1586
LDSP-EDDH,1.0565,1.1464
LDSP-EDDK,1.0526,1.1341
LDSP-EDDL,1.078,1.1684
LDSP-EDDM,1.0979,1.201
LDSP-EDDS,1.089,1.1388
LDSP-EDDV,1.0365,1.0657
LDSP-EFHK,1.0389,1.0899
LDSP-EGCC,1.0399,1.1644
LDSP-EGGD,1.0436,1.1696
LDSP-EGGW,1.0443,1.1441
LDSP-EGKK,1.0409,1.1936
LDSP-EGLL,1.0402,1.1766
LDSP-EGSS,1.0435,1.1372
LDSP-EHAM,1.1006,1.1916
LDSP-EHRD,1.0703,1.1081
LDSP-EIDW,1.0284,1.1434
LDSP-EKCH,1.0582,1.104
LDSP-ENBR,1.0388,1.117
LDSP-ENGM,1.0459,1.1221
LDSP-ENVA,1.0279,1.1027
LDSP-ENZV,1.0551,1.1445
LDSP-ESGG,1.0409,1.0933
LDSP-ESSA,1.0483,1.1053
LDSP-LDZA,1.1251,1.3775
LDSP-LEBL,1.0774,1.176
LDSP-LFPG,1.0606,1.1644
LDSP-LFPO,1.0524,1.1296
LDSP-LFSB,1.1047,1.147
LDSP-LIMC,1.1146,1.2065
LDSP-LIRF,1.1205,1.248
LDSP-LIRN,1.1413,1.3101
LDSP-LKPR,1.1196,1.1569
LDSP-LOWW,1.1016,1.1423
LDSP-LSGG,1.0622,1.1352
LDSP-LSZH,1.1169,1.2114
LDSP-LYBE,1.1245,1.2213
LDSP-UUEE,1.0532,1.0982
LDZA-CYYZ,1.0252,1.1508
LDZA-EBBR,1.0801,1.1545
LDZA-EDDF,1.1023,1.2298
LDZA-EDDK,1.064,1.1506
LDZA-EDDM,1.119,1.2849
LDZA-EDDS,1.0693,1.2007
LDZA-EGLL,1.0566,1.205
LDZA-EHAM,1.0843,1.2317
LDZA-EIDW,1.0445,1.2351
LDZA-EKCH,1.041,1.153
LDZA-EPWA,1.0509,1.2039
LDZA-LDDU,1.0478,1.2297
LDZA-LDSP,1.1537,1.4143
LDZA-LEBL,1.0596,1.1908
LDZA-LEMD,1.054,1.2019
LDZA-LFPG,1.0858,1.2027
LDZA-LLBG,1.0225,1.0934
LDZA-LOWW,1.1293,1.4577
LDZA-LPPT,1.047,1.2349
LDZA-LTBA,1.0577,1.0355
LDZA-LTFM,1.057,1.0495
LDZA-LWSK,1.0217,1.1116
LDZA-OMDB,1.0379,0.9429
LDZA-OTHH,1.059,1.0696
LDZA-RKSI,1.0275,1.0728
LDZA-UUEE,1.068,1.2057
LDZD-EBCI,1.038,1.0563
LDZD-EDDB,1.0727,1.103
LDZD-EDDF,1.1848,1.2105
LDZD-EDDH,1.0448,1.1095
LDZD-EDDK,1.0613,1.0862
LDZD-EDDN,1.1512,1.1718
LDZD-EDDS,1.0764,1.1395
LDZD-EDLV,1.0646,1.0982
LDZD-EDSB,1.0889,1.0832
LDZD-EGCC,1.0192,1.1299
LDZD-EGSS,1.0579,1.123
LDZD-EHEH,1.0488,1.0761
LDZD-EIDW,1.0578,1.166
LDZD-EPKK,1.1088,1.1304
LDZD-EPPO,1.0758,1.068
LDZD-ESGG,1.0283,1.0682
LDZD-ESKN,1.0284,1.0613
LDZD-LFML,1.0955,1.113
LDZD-LIME,1.0597,1.1648
LEAL-BIKF,1.0503,1.1082
LEAL-DAAG,1.0623,1.1676
LEAL-DAOO,1.1569,1.2912
LEAL-EBAW,1.0758,1.1753
LEAL-EBBR,1.1043,1.1623
LEAL-EBCI,1.1156,1.163
LEAL-EBLG,1.1697,1.2432
LEAL-EBOS,1.0679,1.1482
LEAL-EDDB,1.0926,1.1334
LEAL-EDDF,1.1505,1.1646
LEAL-EDDH,1.0916,1.1441
LEAL-EDDK,1.1465,1.1688
LEAL-EDDL,1.1292,1.1968
LEAL-EDDM,1.0848,1.1131
LEAL-EDDN,1.0719,1.0593
LEAL-EDDS,1.0998,1.1341
LEAL-EDDW,1.1035,1.1493
LEAL-EDJA,1.0879,1.0854
LEAL-EDLV,1.1228,1.1386
LEAL-EDSB,1.1297,1.1307
LEAL-EFHK,1.0545,1.0769
LEAL-EGAA,1.0673,1.1831
LEAL-EGBB,1.0732,1.1351
LEAL-EGCC,1.0744,1.1534
LEAL-EGCN,1.0811,1.1706
LEAL-EGFF,1.0748,1.1732
LEAL-EGGD,1.087,1.1701
LEAL-EGGP,1.0715,1.1802
LEAL-EGGW,1.0739,1.1842
LEAL-EGHH,1.059,1.1287
LEAL-EGHI,1.0293,1.1529
LEAL-EGHQ,1.0732,1.1469
LEAL-EGKK,1.0961,1.1911
LEAL-EGMC,1.0925,1.1656
LEAL-EGNM,1.0565,1.1162
LEAL-EGNT,1.0552,1.144
LEAL-EGNX,1.0546,1.1069
LEAL-EGPD,1.0705,1.1681
LEAL-EGPF,1.0582,1.1662
LEAL-EGPH,1.0477,1.1374
LEAL-EGPK,1.0597,1.1364
LEAL-EGSS,1.129,1.1899
LEAL-EGTE,1.0476,1.1858
LEAL-EHAM,1.0757,1.1437
LEAL-EHBK,1.1544,1.1719
LEAL-EHEH,1.0971,1.1326
LEAL-EHRD,1.0629,1.0934
LEAL-EICK,1.0861,1.2171
LEAL-EIDW,1.0713,1.1939
LEAL-EIKY,1.0685,1.1367
LEAL-EINN,1.0634,1.1759
LEAL-EKBI,1.0568,1.0981
LEAL-EKCH,1.0778,1.1094
LEAL-ENBR,1.0481,1.1029
LEAL-ENGM,1.047,1.0936
LEAL-ENHD,1.0539,1.0778
LEAL-ENTO,1.0395,1.0849
LEAL-ENVA,1.0391,1.0924
LEAL-ENZV,1.0477,1.0984
LEAL-EPGD,1.0648,1.0785
LEAL-EPKK,1.0411,1.0467
LEAL-EPMO,1.0706,1.0838
LEAL-EPPO,1.0692,1.0826
LEAL-EPWR,1.0532,1.0614
LEAL-ESGG,1.054,1.0957
LEAL-ESKN,1.0607,1.0874
LEAL-ESMX,1.0676,1.0928
LEAL-ESOW,1.0497,1.0646
LEAL-ESSA,1.0638,1.1063
LEAL-EYKA,1.0391,1.0509
LEAL-GCLP,1.0565,1.2158
LEAL-GCXO,1.0476,1.1664
LEAL-LEAS,1.0815,1.2291
LEAL-LEBB,1.1378,1.2846
LEAL-LEBL,1.2229,1.3214
LEAL-LEIB,1.1141,1.2808
LEAL-LEPA,1.1491,1.32
LEAL-LEST,1.0523,1.1694
LEAL-LEVT,1.1346,1.3166
LEAL-LEZL,1.1083,1.2743
LEAL-LFBD,1.1468,1.218
LEAL-LFBO,1.0779,1.127
LEAL-LFLL,1.1424,1.1455
LEAL-LFML,1.1089,1.0978
LEAL-LFOB,1.0881,1.0953
LEAL-LFPG,1.1616,1.2031
LEAL-LFPO,1.0876,1.1285
LEAL-LFRS,1.1017,1.1591
LEAL-LFSB,1.127,1.164
LEAL-LIMC,1.0896,1.0996
LEAL-LIME,1.0765,1.065
LEAL-LIPE,1.0713,1.0558
LEAL-LIRF,1.0475,1.0684
LEAL-LKPD,1.0765,1.1056
LEAL-LOWW,1.0495,1.08
LEAL-LPPR,1.1186,1.2542
LEAL-LROP,1.0163,1.0061
LEAL-LSGG,1.1843,1.2026
LEAL-LSZH,1.1244,1.1585
LEAL-UKBB,1.0299,1.0486
LEAL-UKLI,1.014,1.1085
LEAL-ULLI,1.0385,1.119
LEAL-UUDD,1.0448,1.0754
LEAL-UUEE,1.0482,1.0832
LEAM-EBBR,1.0992,1.2104
LEAM-EBCI,1.1151,1.1451
LEAM-EGBB,1.0858,1.1578
LEAM-EGCC,1.0709,1.1503
LEAM-EGKK,1.079,1.2159
LEAM-EGSS,1.079,1.1462
LEAM-EHRD,1.0745,1.0841
LEAM-EIDW,1.0518,1.1647
LEAM-LEBL,1.1554,1.2699
LEAM-LIMC,1.1097,1.1155
LEAS-EGKK,1.0519,1.1254
LEAS-GCLP,1.0244,1.0811
LEAS-GCRR,1.0328,1.1511
LEAS-GCXO,1.0145,1.129
LEAS-LEAL,1.1122,1.1043
LEAS-LEBL,1.0828,1.0972
LEAS-LEMD,1.2092,1.2698
LEAS-LEMG,1.0665,1.103
LEAS-LEPA,1.125,1.124
LEAS-LEZL,1.1184,1.1636
LEBB-EBBR,1.0862,1.1362
LEBB-EDDF,1.1495,1.2079
LEBB-EDDL,1.0944,1.1382
LEBB-EDDM,1.1035,1.1622
LEBB-EDDS,1.1407,1.1518
LEBB-EGCC,1.0713,1.1849
LEBB-EGGD,1.0685,1.1376
LEBB-EGKK,1.0682,1.1592
LEBB-EGMC,1.0791,1.1225
LEBB-EGSS,1.0582,1.1231
LEBB-EHAM,1.0481,1.0696
LEBB-EIDW,1.0736,1.234
LEBB-GCFV,1.0259,1.1821
LEBB-GCLP,1.0269,1.1047
LEBB-GCRR,1.0277,1.1624
LEBB-GCTS,1.0511,1.1435
LEBB-GCXO,1.0172,1.1424
LEBB-LEAL,1.1365,1.198
LEBB-LEBL,1.1153,1.2081
LEBB-LEGR,1.1299,1.2507
LEBB-LEIB,1.2587,1.3029
LEBB-LEJR,1.039,1.1375
LEBB-LEMD,1.3472,1.5131
LEBB-LEMG,1.0883,1.1804
LEBB-LEMH,1.0742,1.1304
LEBB-LEPA,1.1357,1.2093
LEBB-LEVC,1.2421,1.3403
LEBB-LEZL,1.0554,1.1722
LEBB-LFPG,1.1229,1.164
LEBB-LIMC,1.1102,1.1343
LEBB-LIRF,1.1181,1.1692
LEBB-LOWW,1.0745,1.111
LEBB-LPPR,1.1129,1.2706
LEBB-LPPT,1.1049,1.2144
LEBB-LSGG,1.1376,1.1473
LEBB-LSZH,1.1436,1.1638
LEBB-LTFM,1.0562,1.1066
LEBL-BIKF,1.0628,1.1808
LEBL-CYUL,1.0238,1.1921
LEBL-CYYZ,1.0246,1.1905
LEBL-DAAG,1.0339,1.1342
LEBL-DAOO,1.0901,1.1666
LEBL-DTTA,1.1391,1.1816
LEBL-EBBR,1.1503,1.2269
LEBL-EBCI,1.1712,1.2341
LEBL-EDDB,1.1127,1.1855
LEBL-EDDF,1.179,1.1817
LEBL-EDDH,1.1387,1.2194
LEBL-EDDK,1.1854,1.2808
LEBL-EDDL,1.1742,1.2598
LEBL-EDDM,1.1263,1.1789
LEBL-EDDN,1.1191,1.181
LEBL-EDDP,1.1078,1.1102
LEBL-EDDS,1.1246,1.1493
LEBL-EDDV,1.1528,1.2429
LEBL-EFHK,1.0666,1.0688
LEBL-EGAA,1.0483,1.2048
LEBL-EGBB,1.0761,1.1661
LEBL-EGCC,1.0872,1.2084
LEBL-EGFF,1.0497,1.1198
LEBL-EGGD,1.0835,1.203
LEBL-EGGP,1.0632,1.1883
LEBL-EGGW,1.0889,1.2187
LEBL-EGKK,1.1213,1.2287
LEBL-EGLL,1.1038,1.2266
LEBL-EGMC,1.0971,1.1921
LEBL-EGNM,1.0544,1.1325
LEBL-EGNT,1.0515,1.1821
LEBL-EGNX,1.0616,1.1262
LEBL-EGPF,1.0454,1.1723
LEBL-EGPH,1.0476,1.164
LEBL-EGPK,1.037,1.1249
LEBL-EGSS,1.1058,1.2021
LEBL-EHAM,1.1031,1.1768
LEBL-EHEH,1.1531,1.1957
LEBL-EHRD,1.0961,1.1281
LEBL-EICK,1.0445,1.2175
LEBL-EIDW,1.0457,1.1989
LEBL-EKBI,1.0796,1.1145
LEBL-EKCH,1.097,1.1449
LEBL-ELLX,1.212,1.2604
LEBL-ENBR,1.0511,1.1201
LEBL-ENGM,1.0634,1.1311
LEBL-ENVA,1.0485,1.0941
LEBL-ENZV,1.0534,1.1244
LEBL-EPGD,1.0703,1.1415
LEBL-EPKK,1.051,1.1
LEBL-EPKT,1.0504,1.0296
LEBL-EPMO,1.0946,1.1292
LEBL-EPWA,1.0704,1.0988
LEBL-ESGG,1.0835,1.1465
LEBL-ESKN,1.0564,1.104
LEBL-ESSA,1.0821,1.1603
LEBL-EYVI,1.0458,1.0694
LEBL-GBYD,1.0277,1.174
LEBL-GCFV,1.0347,1.1588
LEBL-GCLA,1.0513,1.202
LEBL-GCLP,1.0405,1.1048
LEBL-GCRR,1.0309,1.0901
LEBL-GCTS,1.0492,1.1665
LEBL-GCXO,1.031,1.1377
LEBL-GMFF,1.024,1.1141
LEBL-GMMN,1.05,1.1762
LEBL-GMMW,1.0638,1.1588
LEBL-GMMX,1.0301,1.13
LEBL-GMTT,1.0381,1.1635
LEBL-GOBD,1.0297,1.1983
LEBL-HECA,1.0566,1.0577
LEBL-KATL,1.0225,1.2379
LEBL-KBOS,1.0314,1.2129
LEBL-KCLT,1.0286,1.2024
LEBL-KEWR,1.0434,1.2683
LEBL-KFLL,1.0283,1.221
LEBL-KIAD,1.0306,1.2523
LEBL-KJFK,1.0257,1.299
LEBL-KLAX,1.0302,1.2119
LEBL-KMIA,1.0283,1.305
LEBL-KOAK,1.0284,1.2135
LEBL-KORD,1.034,1.2174
LEBL-KPHL,1.0318,1.2177
LEBL-KSFO,1.0249,1.1546
LEBL-LBSF,1.0555,1.0624
LEBL-LDDU,1.048,1.1012
LEBL-LDSP,1.0843,1.1528
LEBL-LDZA,1.0542,1.1052
LEBL-LEAL,1.1317,1.2835
LEBL-LEAM,1.1049,1.2482
LEBL-LEAS,1.0618,1.2448
LEBL-LEBB,1.0734,1.2779
LEBL-LECO,1.0394,1.1878
LEBL-LEGR,1.0771,1.1531
LEBL-LEIB,1.1887,1.425
LEBL-LEJR,1.0473,1.1496
LEBL-LEMD,1.0875,1.2398
LEBL-LEMG,1.0591,1.1363
LEBL-LEMH,1.1119,1.3521
LEBL-LEPA,1.1552,1.3751
LEBL-LESO,1.181,1.4209
LEBL-LEST,1.0366,1.1935
LEBL-LEVC,1.1108,1.3441
LEBL-LEVD,1.0811,1.264
LEBL-LEVX,1.0645,1.191
LEBL-LEXJ,1.0539,1.2645
LEBL-LEZL,1.0529,1.1619
LEBL-LFBD,1.1223,1.3348
LEBL-LFLL,1.2009,1.3321
LEBL-LFML,1.178,1.3726
LEBL-LFMN,1.1399,1.2675
LEBL-LFOB,1.1111,1.1564
LEBL-LFPG,1.1642,1.237
LEBL-LFPO,1.1262,1.1708
LEBL-LFQQ,1.0898,1.1518
LEBL-LFRN,1.05,1.1771
LEBL-LFRS,1.0588,1.1983
LEBL-LFSB,1.1705,1.2681
LEBL-LGAV,1.0318,1.03
LEBL-LGMK,1.024,1.0727
LEBL-LHBP,1.057,1.0948
LEBL-LHDC,1.0376,1.084
LEBL-LIBD,1.0434,1.0863
LEBL-LICC,1.0416,1.0897
LEBL-LICJ,1.0555,1.101
LEBL-LIEA,1.0329,1.098
LEBL-LIEE,1.1358,1.1946
LEBL-LIEO,1.0676,1.112
LEBL-LIMC,1.134,1.2415
LEBL-LIME,1.1065,1.1803
LEBL-LIMF,1.1971,1.3095
LEBL-LIMJ,1.0907,1.162
LEBL-LIPE,1.0668,1.1449
LEBL-LIPZ,1.0661,1.1345
LEBL-LIRF,1.1033,1.1478
LEBL-LIRN,1.0633,1.0913
LEBL-LIRP,1.0871,1.2013
LEBL-LIRQ,1.088,1.1783
LEBL-LKPR,1.0952,1.1418
LEBL-LLBG,1.0143,1.0127
LEBL-LMML,1.0567,1.0825
LEBL-LOWW,1.077,1.1353
LEBL-LPFR,1.102,1.2434
LEBL-LPPR,1.08,1.1999
LEBL-LPPT,1.0561,1.1504
LEBL-LRCL,1.043,1.1101
LEBL-LRIA,1.0523,1.1039
LEBL-LROP,1.047,1.0439
LEBL-LRTR,1.0541,1.1058
LEBL-LSGG,1.2616,1.3752
LEBL-LSZH,1.1477,1.1611
LEBL-LTBA,1.0394,1.0647
LEBL-LTFJ,1.0458,1.0739
LEBL-LTFM,1.0475,1.0929
LEBL-LUKK,1.0218,1.1048
LEBL-LYBE,1.0701,1.1223
LEBL-MMMX,1.0323,1.1734
LEBL-OIIE,1.0192,0.9106
LEBL-OJAI,1.0324,1.0405
LEBL-OLBA,1.0132,1.0247
LEBL-OMAA,1.0622,1.0244
LEBL-OMDB,1.0652,0.9373
LEBL-OTHH,1.0576,0.9753
LEBL-RKSI,1.0788,1.1803
LEBL-SAEZ,1.0192,1.1235
LEBL-SBGR,1.0199,1.1104
LEBL-SCEL,1.015,1.1018
LEBL-SKBO,1.036,1.1257
LEBL-SPJC,1.0084,1.0816
LEBL-UGKO,1.0274,1.0533
LEBL-UKBB,1.0337,1.0586
LEBL-UKKK,1.0499,1.1143
LEBL-ULLI,1.0625,1.1166
LEBL-UMMS,1.0452,1.1348
LEBL-USSS,1.0274,1.0611
LEBL-UUDD,1.0615,1.0841
LEBL-UUEE,1.0537,1.1151
LEBL-UUWW,1.0442,1.0461
LEBL-ZBAA,1.0161,1.0503
LEBL-ZSPD,1.0212,1.0396
LECH-EGSS,1.0923,1.1587
LECH-LROP,1.0347,1.0279
LECO-EGLL,1.0474,1.1242
LECO-GCLP,1.0384,1.1511
LECO-LEBL,1.0636,1.0805
LECO-LEMD,1.1073,1.2129
LECO-LEPA,1.107,1.1101
LECO-LEVC,1.0544,1.0908
LECO-LEZL,1.1209,1.1867
LEGE-EBBR,1.1623,1.1976
LEGE-EBCI,1.179,1.1761
LEGE-EDDW,1.1318,1.1387
LEGE-EDFH,1.1825,1.1854
LEGE-EDLV,1.1568,1.1665
LEGE-EDSB,1.1728,1.1779
LEGE-EGAA,1.0655,1.1358
LEGE-EGBB,1.0662,1.1233
LEGE-EGCC,1.0739,1.1495
LEGE-EGGD,1.0856,1.1397
LEGE-EGGW,1.1158,1.1661
LEGE-EGHH,1.1012,1.1586
LEGE-EGNM,1.0627,1.1065
LEGE-EGNT,1.0537,1.1191
LEGE-EGNX,1.0547,1.0877
LEGE-EGPH,1.0507,1.1334
LEGE-EGSS,1.1162,1.171
LEGE-EHAM,1.1047,1.1459
LEGE-EHEH,1.1735,1.1752
LEGE-EHRD,1.092,1.0944
LEGE-EIDW,1.037,1.1414
LEGE-EKBI,1.0903,1.135
LEGE-EPKK,1.0391,1.0636
LEGE-EVRA,1.0603,1.0872
LEGE-GMME,1.0104,1.0798
LEGE-LFOB,1.13,1.1591
LEGE-LGTS,1.0405,1.0478
LEGE-LIEE,1.1045,1.159
LEGE-LIRP,1.0536,1.1448
LEGE-LZIB,1.0489,1.0575
LEGE-UUWW,1.0383,1.0709
LEGR-EGKK,1.0482,1.1631
LEGR-EGLC,1.0806,1.1221
LEGR-GCLP,1.0494,1.0837
LEGR-LEBB,1.0599,1.145
LEGR-LEBL,1.0967,1.1254
LEGR-LEPA,1.0738,1.149
LEGR-LFPG,1.0635,1.0971
LEGR-LFRS,1.038,1.1141
LEGR-LIMC,1.0873,1.1166
LEGR-LIRN,1.0465,1.0965
LEIB-EBAW,1.0646,1.16
LEIB-EBBR,1.0981,1.1541
LEIB-EBCI,1.1122,1.1286
LEIB-EDDF,1.1571,1.174
LEIB-EDDH,1.1098,1.1898
LEIB-EDDK,1.1369,1.21
LEIB-EDDL,1.133,1.1855
LEIB-EDDM,1.1006,1.1393
LEIB-EDDS,1.1039,1.1262
LEIB-EDDV,1.0992,1.1587
LEIB-EDFH,1.1429,1.1482
LEIB-EDLV,1.1292,1.1353
LEIB-EGAA,1.0407,1.1145
LEIB-EGBB,1.0469,1.095
LEIB-EGCC,1.0421,1.0852
LEIB-EGGD,1.062,1.1317
LEIB-EGGP,1.0454,1.1198
LEIB-EGGW,1.0401,1.1537
LEIB-EGKK,1.0697,1.1547
LEIB-EGLC,1.0737,1.1414
LEIB-EGLL,1.0722,1.139
LEIB-EGNM,1.0312,1.0667
LEIB-EGNT,1.0356,1.0961
LEIB-EGNX,1.0315,1.0687
LEIB-EGPF,1.031,1.0961
LEIB-EGPH,1.0244,1.1137
LEIB-EGPK,1.0267,1.104
LEIB-EGSS,1.0637,1.1386
LEIB-EHAM,1.0782,1.1392
LEIB-EHEH,1.1149,1.1414
LEIB-EHRD,1.0652,1.0933
LEIB-EIDW,1.0575,1.16
LEIB-EINN,1.0439,1.1524
LEIB-LEAL,1.3562,1.5737
LEIB-LEBB,1.1367,1.2368
LEIB-LEBL,1.2008,1.4206
LEIB-LEMD,1.099,1.2585
LEIB-LEMG,1.1279,1.2401
LEIB-LEVC,1.2658,1.4943
LEIB-LEZL,1.0657,1.1795
LEIB-LFML,1.1489,1.1407
LEIB-LFPG,1.1223,1.152
LEIB-LFPO,1.0819,1.1101
LEIB-LFRS,1.0603,1.1318
LEIB-LFSB,1.1496,1.1993
LEIB-LIMC,1.117,1.1403
LEIB-LIME,1.1148,1.0822
LEIB-LIMF,1.1275,1.1125
LEIB-LIPE,1.0899,1.0568
LEIB-LIPH,1.0534,1.0314
LEIB-LIPX,1.0827,1.0675
LEIB-LIPZ,1.0698,1.1005
LEIB-LIRF,1.0609,1.0799
LEIB-LIRN,1.0564,1.0821
LEIB-LIRP,1.0581,1.0181
LEIB-LOWW,1.0642,1.1112
LEIB-LPPR,1.1331,1.3366
LEIB-LPPT,1.1214,1.2361
LEIB-LSGG,1.1885,1.2143
LEIB-LSZH,1.1327,1.1895
LEJR-EDDF,1.1027,1.1828
LEJR-EDDH,1.0436,1.1233
LEJR-EDDL,1.0627,1.1505
LEJR-EDDM,1.0732,1.1175
LEJR-EDDS,1.0829,1.097
LEJR-EDDV,1.0804,1.1358
LEJR-EGKK,1.0644,1.1709
LEJR-EGSS,1.0577,1.1288
LEJR-LEBB,1.0847,1.18
LEJR-LEBL,1.1228,1.1371
LEJR-LEMD,1.1382,1.2554
LEJR-LEPA,1.075,1.1241
LEMD-BIKF,1.0562,1.1381
LEMD-CYUL,1.0195,1.2309
LEMD-CYYZ,1.0205,1.2169
LEMD-DAAG,1.0843,1.137
LEMD-DTTA,1.0423,1.0932
LEMD-EBBR,1.0628,1.136
LEMD-EBCI,1.0629,1.0774
LEMD-EBLG,1.0743,1.0672
LEMD-EDDB,1.0727,1.1077
LEMD-EDDF,1.1107,1.1509
LEMD-EDDH,1.0695,1.1647
LEMD-EDDK,1.062,1.1234
LEMD-EDDL,1.0624,1.1588
LEMD-EDDM,1.0531,1.1067
LEMD-EDDN,1.0378,1.0415
LEMD-EDDP,1.0693,1.0433
LEMD-EDDS,1.0546,1.1298
LEMD-EFHK,1.0348,1.0631
LEMD-EGBB,1.0811,1.1718
LEMD-EGCC,1.0553,1.138
LEMD-EGGD,1.0468,1.1447
LEMD-EGGP,1.032,1.159
LEMD-EGGW,1.0583,1.1732
LEMD-EGKK,1.0607,1.164
LEMD-EGLL,1.0545,1.1673
LEMD-EGPH,1.0358,1.1769
LEMD-EGSS,1.0492,1.1128
LEMD-EHAM,1.0398,1.1209
LEMD-EHEH,1.0601,1.0892
LEMD-EIDW,1.0447,1.1626
LEMD-EKCH,1.0341,1.1072
LEMD-ELLX,1.0777,1.0898
LEMD-ENGM,1.0299,1.0867
LEMD-EPKK,1.0277,1.0449
LEMD-EPMO,1.0602,1.0702
LEMD-EPWA,1.0357,1.0634
LEMD-EPWR,1.0375,1.039
LEMD-ESSA,1.0301,1.0892
LEMD-EYVI,1.0361,1.0369
LEMD-FGSL,1.0422,1.1108
LEMD-GCFV,1.0604,1.1943
LEMD-GCLA,1.0547,1.1113
LEMD-GCLP,1.0618,1.1591
LEMD-GCRR,1.0612,1.1672
LEMD-GCTS,1.0644,1.2132
LEMD-GCXO,1.0413,1.1334
LEMD-GMFF,1.103,1.1702
LEMD-GMME,1.0666,1.1491
LEMD-GMMN,1.124,1.2336
LEMD-GMMX,1.071,1.1541
LEMD-GMMZ,1.0817,1.1333
LEMD-GMTT,1.1269,1.2644
LEMD-GOBD,1.0304,1.1105
LEMD-HAAB,1.0769,1.0853
LEMD-HECA,1.0348,1.0266
LEMD-HELX,1.0413,1.027
LEMD-KATL,1.0225,1.2527
LEMD-KBOS,1.0261,1.2479
LEMD-KCLT,1.0268,1.2076
LEMD-KDFW,1.0239,1.3009
LEMD-KEWR,1.0398,1.3033
LEMD-KIAD,1.0233,1.0929
LEMD-KJFK,1.0272,1.2494
LEMD-KLAX,1.0273,1.1705
LEMD-KMIA,1.0248,1.2271
LEMD-KORD,1.0231,1.253
LEMD-KPHL,1.0337,1.2231
LEMD-KSFO,1.0176,1.1296
LEMD-LBSF,1.0505,1.0803
LEMD-LDDU,1.0397,1.0625
LEMD-LDZA,1.0596,1.1137
LEMD-LEAS,1.0938,1.3119
LEMD-LEBB,1.1286,1.3811
LEMD-LEBL,1.1308,1.2453
LEMD-LECO,1.0656,1.2876
LEMD-LEIB,1.1107,1.246
LEMD-LEJR,1.0883,1.278
LEMD-LEMG,1.1999,1.3798
LEMD-LEMH,1.1158,1.1742
LEMD-LEPA,1.1487,1.2363
LEMD-LEST,1.047,1.2508
LEMD-LEVX,1.0828,1.3039
LEMD-LEXJ,1.1146,1.3639
LEMD-LEZL,1.1302,1.3608
LEMD-LFBD,1.0954,1.1663
LEMD-LFBO,1.0643,1.1794
LEMD-LFLL,1.0335,1.061
LEMD-LFML,1.1114,1.0812
LEMD-LFMN,1.0795,1.1304
LEMD-LFOB,1.0661,1.0872
LEMD-LFPG,1.0713,1.1224
LEMD-LFPO,1.0571,1.096
LEMD-LFRN,1.0336,1.1276
LEMD-LFRS,1.0579,1.159
LEMD-LFSB,1.0706,1.1144
LEMD-LGAV,1.0408,1.0578
LEMD-LHBP,1.072,1.109
LEMD-LIBD,1.033,1.0523
LEMD-LICC,1.0679,1.084
LEMD-LICJ,1.0751,1.0825
LEMD-LIEE,1.123,1.1301
LEMD-LIMC,1.0713,1.0858
LEMD-LIME,1.0764,1.0558
LEMD-LIML,1.0793,1.0967
LEMD-LIPE,1.0593,1.0519
LEMD-LIPZ,1.0637,1.1161
LEMD-LIRA,1.0902,1.0879
LEMD-LIRF,1.0943,1.1279
LEMD-LIRN,1.0705,1.1222
LEMD-LIRP,1.0517,1.0293
LEMD-LIRQ,1.0738,1.1145
LEMD-LKPR,1.054,1.0786
LEMD-LLBG,1.0235,1.0239
LEMD-LMML,1.0454,1.0494
LEMD-LOWW,1.0513,1.1056
LEMD-LPFR,1.169,1.3074
LEMD-LPPR,1.1162,1.3253
LEMD-LPPT,1.1325,1.3093
LEMD-LRCL,1.0418,1.0768
LEMD-LRCV,1.0497,1.0981
LEMD-LROP,1.0401,1.0303
LEMD-LRSB,1.0389,1.0825
LEMD-LRTR,1.0434,1.0879
LEMD-LSGG,1.0637,1.0831
LEMD-LSZH,1.0522,1.1391
LEMD-LTBA,1.0521,1.0872
LEMD-LTFJ,1.0516,1.0625
LEMD-LTFM,1.0474,1.0774
LEMD-LZIB,1.0562,1.0557
LEMD-MDPC,1.0164,1.1568
LEMD-MDSD,1.0129,1.1486
LEMD-MGGT,1.0211,1.1528
LEMD-MHLM,1.0234,1.1619
LEMD-MMMX,1.0303,1.1765
LEMD-MMUN,1.0182,1.1608
LEMD-MPTO,1.0142,1.1266
LEMD-MROC,1.0215,1.1594
LEMD-MUHA,1.0154,1.1771
